,0,1,2,3
19,"[3, 1, 32, 'tanh', 50, 7]",0.3269149661064148,0.2651289701461792,0.38537025451660156
20,"[3, 1, 128, 'tanh', 50, 10]",0.32695624232292175,0.2652834951877594,0.38580000400543213
21,"[3, 1, 128, 'relu', 50, 7]",0.3269958794116974,0.26584237813949585,0.3853372633457184
22,"[3, 1, 128, 'tanh', 40, 10]",0.32700058817863464,0.2653064727783203,0.38581302762031555
23,"[3, 1, 64, 'relu', 50, 10]",0.3270533084869385,0.26694485545158386,0.38524675369262695
24,"[3, 1, 128, 'sigmoid', 30, 2]",0.3270736634731293,0.2697031497955322,0.3855310380458832
25,"[3, 1, 128, 'relu', 15, 10]",0.3271405100822449,0.26617875695228577,0.3848908841609955
26,"[3, 1, 64, 'tanh', 20, 10]",0.32714685797691345,0.26579952239990234,0.3855319023132324
27,"[3, 1, 64, 'relu', 40, 7]",0.32718104124069214,0.2658674418926239,0.38562074303627014
28,"[3, 1, 128, 'tanh', 15, 10]",0.3271881341934204,0.2652602195739746,0.3860039710998535
29,"[3, 1, 128, 'tanh', 30, 10]",0.32719606161117554,0.26521313190460205,0.38606199622154236
30,"[3, 1, 64, 'relu', 20, 7]",0.3272504508495331,0.2664118707180023,0.3851751387119293
31,"[3, 1, 128, 'tanh', 20, 10]",0.3273329436779022,0.2652853727340698,0.3862600028514862
32,"[3, 1, 64, 'relu', 30, 7]",0.327336847782135,0.2661462724208832,0.38546380400657654
33,"[3, 1, 32, 'tanh', 50, 10]",0.3273797631263733,0.26595866680145264,0.38592949509620667
34,"[3, 1, 64, 'tanh', 50, 7]",0.32745590806007385,0.26549556851387024,0.3861255347728729
35,"[3, 1, 32, 'tanh', 20, 7]",0.3276633620262146,0.2665393650531769,0.3855842351913452
36,"[3, 1, 128, 'relu', 40, 7]",0.327725887298584,0.26570427417755127,0.38592812418937683
37,"[3, 1, 64, 'tanh', 40, 7]",0.32781851291656494,0.26552116870880127,0.38659989833831787
